Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Cationic_Lipid_to_mRNA_weight_ratio,Helper_lipid_ID
50,10,38.5,1.5,19.35326347,DSPC
50,10,38.5,1.5,19.19352646,DSPC
50,10,38.5,1.5,15.44559484,DSPC
50,10,38.5,1.5,15.24245185,DSPC
50,10,38.5,1.5,15.24245185,DSPC
50,10,38.5,1.5,13.38607591,DSPC
50,10,38.5,1.5,13.70858688,DSPC
50,10,38.5,1.5,17.40770989,DSPC
50,10,38.5,1.5,15.96782216,DSPC
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,17.2554924,DSPC
50,10,38.5,1.5,16.95535314,DSPC
50,10,38.5,1.5,14.51030189,DSPC
50,10,38.5,1.5,17.11860943,DSPC
50,10,38.5,1.5,16.80841018,DSPC
50,10,38.5,1.5,14.7769988,DSPC
50,10,38.5,1.5,17.33731463,DSPC
50,10,38.5,1.5,15.55151343,DSPC
50,10,38.5,1.5,16.95535314,DSPC
50,10,38.5,1.5,17.11860943,DSPC
50,10,38.5,1.5,16.80841018,DSPC
50,10,38.5,1.5,14.7769988,DSPC
50,10,38.5,1.5,17.33731463,DSPC
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,15.85660447,DSPC
50,10,38.5,1.5,16.63293083,DSPC
50,10,38.5,1.5,16.2856483,DSPC
50,10,38.5,1.5,16.23582504,DSPC
50,10,38.5,1.5,15.75702627,DSPC
50,10,38.5,1.5,16.47477668,DSPC
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,19.33366115,DSPC
50,10,38.5,1.5,18.98780245,DSPC
50,10,38.5,1.5,16.42695266,DSPC
50,10,38.5,1.5,16.68206611,DSPC
50,10,38.5,1.5,15.77114057,DSPC
50,10,38.5,1.5,18.16832078,DSPC
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,17.89554445,DSPC
50,10,38.5,1.5,14.13296737,DSPC
50,10,38.5,1.5,17.61200662,DSPC
50,10,38.5,1.5,15.1299087,DSPC
