smiles,Amine,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,Delivery_target,Biodistribution_lymph_nodes,Biodistribution_heart,Biodistribution_liver,Biodistribution_spleen,Biodistribution_lung,Biodistribution_kidney,Biodistribution_muscle,quantified_total_luminescence,quantified_delivery,toxic
OC(CC(NCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)(CC(NCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)C(NCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O,citric acid,0,0,1,body,,0.141974553073968,0.351788837480042,0.21590174472742,0.201831859522378,0.0885030051961923,0.7745,0.148451427756917,-0.626831602,
OC(CC(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)(CC(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)C(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O,citric acid,0,0,1,body,,0.118429962362459,0.359442163877919,0.207462553548735,0.206757503800386,0.107907816410501,0.7745,0.141461295642972,-0.637548803,
O=C(CN(CCCCCCCCCCCC)CCCCCCCCCCCC)NCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,gly,1,0,0,body,,,,,,,0.7745,,,
CCCCCCCCCCN([C@H](C(NCCCN(CCCCCCCCCCCC)CCCCCCCCCC)=O)CO)CCCCCCCCCCCC,ser,0,0,1,body,,0.124916929794055,0.369468729447656,0.195055730208631,0.225094433177121,0.0854641773725367,0.7745,0.156358397802496,-0.614708715,
CCCCCCCCCCN([C@H](C(NCCCN(CCCCCCCCCCCC)CCCCCCCCCC)=O)CO)CCCCCCCCCCCC,ser,0,0,1,body,,,,,,,0.7745,,,
O=C(CN(CCCCCCCC)CCCCCCCC)NCCCN(CCCCCCCC)CCCCCCCC,gly,0,0,1,body,,0.150136519605605,0.355001041,0.229550847405215,0.174081272090009,0.0912303198101713,0.7745,0.152341943264804,-0.620866703,
CCCCCCCCN([C@H](C(NCCCN(CCCCCCCC)CCCCCCCC)=O)CO)CCCCCCCC,ser,0,0,1,body,,0.135258733819858,0.336501144772348,0.220509705752364,0.219041309358291,0.0886891062971386,0.7745,0.158669313943658,-0.611165641,
O=C(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCC)=O)CCCCCCCC,ser,0,1,0,body,,0.104670582084173,0.315839166696278,0.253250862525529,0.232520638852651,0.0937187498413698,0.7745,0.159094240395848,-0.610514149,
CCCCCCCCCCCCN([C@H](C(NCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)CO)CCCCCCCCCCCC,ser,0,0,1,body,,0.12522501256674,0.335948007662315,0.256499891314685,0.184909383618406,0.0974177048378551,0.7745,0.158517890991896,-0.611397802,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,0.018637540697442,0.856266507625458,0.0685481607764484,0.037483843171047,0.0190639477296046,0.7745,1,0.678754151,0.0
O=C(CN(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)NCCCN(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O,gly,0,1,0,body,,,,,,,0.7745,,,
