Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,Model_type_A549,Model_type_BDMC,Model_type_BMDM,Model_type_HBEC_ALI,Model_type_HEK293T,Model_type_HeLa,Model_type_IGROV1,Model_type_Mouse,Model_type_RAW264p7,Cargo_type_mRNA,Cargo_type_pDNA,Cargo_type_siRNA,size,PDI
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,150.5,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77.22,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,985,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,194.4,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77.1,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,72.38,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100.1,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100.3,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,79.73,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,101.6,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,74.45,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,78.02,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,65.06,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,85.43,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,79.97,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,70.13,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,80.38,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,80.78,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,127.1,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,180,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,220.3,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,90.89,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,168.1,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,166.1,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,166.4,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,195,0.2 ~ 0.3
