,log luminescence_A549_form_screen_RM_Michael_addition_branched,log luminescence_IR_BL_AG_4CR_IR_4CR_aldehyde,log luminescence_Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched,FFL silencing_Whitehead_siRNA_whitehead_lipidoid,log luminescence_A549_form_screen_IR_Reductive_amination,log luminescence_LM_3CR_LM_3CR,luminescence_Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences,Peptide abundance_Luke_Raj_Branched_ester_RM_Michael_addition_branched,log luminescence_RM_BL_AG_carbonate_RM_carbonate,log luminescence_IR_BL_AG_3CR_sting_IR_3CR_sting,Luminescence_Liu_Phospholipids_Liu_iPhos,FVII silencing_Zhou_dendrimer_Zhou_dendrimer,FVII silencing_Whitehead_siRNA_whitehead_lipidoid,FFL silencing_Zhou_dendrimer_Zhou_dendrimer
0,0.5382091746322986,-0.07610993657505284,0.28008590998990385,0.28803335143298353,0.39918713553631385,0.11013504985485296,,0.38654159076105327,-0.17512304250559282,0.26118984865280703,0.4233165332452939,,0.316017316017316,0.1626936279950684
1,,,,,,,0.47237076648841364,,,,,,,
2,,,,,,,-0.18536585365853658,,,,,,,
3,,,,,,,-0.17305458768873402,,,,,,,
4,,,,,,,0.23577235772357724,,,,,,,
5,,,,,,,0.5168408826945412,,,,,,,
6,,,,,,,0.32404181184668984,,,,,,,
7,,,,,,,0.0909090909090909,,,,,,,
8,,,,,,,0.015098722415795586,,,,,,,
9,0.45840578534134435,0.01602541762465269,0.15414342245327578,0.37185185507609186,0.527658139077384,0.2123239259524388,,0.1449571374418825,0.056828351757909706,0.02914905267118203,0.45363376013438167,,0.19999999999999998,0.3154164692115066
10,,,,,,,0.30133448437647237,,,,,,,
11,,,,,,,-0.15806675327596437,,,,,,,
12,,,,,,,0.22167206648402307,,,,,,,
13,,,,,,,0.6780919767952843,,,,,,,
14,,,,,,,0.020134420036238467,,,,,,,
15,,,,,,,0.13262198974232026,,,,,,,
16,,,,,,,0.5746305700801344,,,,,,,
17,,,,,,,0.2234750643837046,,,,,,,
18,0.4688204286951522,-0.05438415174216029,0.3966149713116176,0.301169590872154,0.34444444444444444,0.2018379947896361,,0.3751964128548629,0.18705035971223025,0.14534180520211867,0.2890515732534967,,-0.11111111111111113,0.278409254769311
19,,,,,,,0.53649313200209,,,,,,,
20,,,,,,,-0.4852811921946239,,,,,,,
21,,,,,,,0.4888494362548785,,,,,,,
22,,,,,,,0.30686898918189454,,,,,,,
23,,,,,,,-0.14629800647043809,,,,,,,
24,,,,,,,0.0753378075525127,,,,,,,
25,,,,,,,-0.3735421772267471,,,,,,,
26,,,,,,,0.3104372332421491,,,,,,,
27,0.4641923433596964,0.046607242568847705,0.2299596766423472,0.37699419861325006,0.35194673285736316,0.18610210276372757,,0.42747091853552227,0.08633093525179857,0.08045744399062048,0.22821594958788208,,0.2424242424242424,0.39915767143710296
28,,,,,,,0.3564234954689409,,,,,,,
29,,,,,,,-0.5006747638326586,,,,,,,
30,,,,,,,-0.23108129207578304,,,,,,,
31,,,,,,,0.47368421052631576,,,,,,,
32,,,,,,,-0.31812134658545665,,,,,,,
33,,,,,,,0.458518679205384,,,,,,,
34,,,,,,,0.6617353103782767,,,,,,,
35,,,,,,,0.13360323886639677,,,,,,,
36,0.627861321662902,-0.036556012909648564,0.4647946857489411,0.26023575380267266,0.6182395631527335,0.14774344305034764,,0.3526239462159557,0.2599311376061948,0.3501882069707875,-0.014806946948539694,,0.14285714285714285,0.2274880652644241
37,,,,,,,0.24569944823109383,,,,,,,
38,,,,,,,0.08026315789473683,,,,,,,
39,,,,,,,0.4302631578947368,,,,,,,
40,,,,,,,0.5232456140350876,,,,,,,
41,,,,,,,0.325438596491228,,,,,,,
42,,,,,,,0.16184210526315784,,,,,,,
43,,,,,,,0.2625109745390693,,,,,,,
44,,,,,,,0.251063829787234,,,,,,,
