,log luminescence_A549_form_screen_RM_Michael_addition_branched,log luminescence_IR_BL_AG_4CR_IR_4CR_aldehyde,log luminescence_Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched,FFL silencing_Whitehead_siRNA_whitehead_lipidoid,log luminescence_A549_form_screen_IR_Reductive_amination,log luminescence_LM_3CR_LM_3CR,luminescence_Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences,Peptide abundance_Luke_Raj_Branched_ester_RM_Michael_addition_branched,log luminescence_RM_BL_AG_carbonate_RM_carbonate,log luminescence_IR_BL_AG_3CR_sting_IR_3CR_sting,Luminescence_Liu_Phospholipids_Liu_iPhos,FVII silencing_Zhou_dendrimer_Zhou_dendrimer,FVII silencing_Whitehead_siRNA_whitehead_lipidoid,FFL silencing_Zhou_dendrimer_Zhou_dendrimer
0,0.7515944966736818,-0.246538409788081,0.3955617064352221,0.5009481763748416,0.516097544556042,0.17579365482128512,,0.6901547674498437,-0.19675998606114684,0.25569834657377666,0.44399198798742584,,0.5925318605217824,0.44517651997127705
1,,,,,,,0.856499358025041,,,,,,,
2,,,,,,,-0.30206541677985715,,,,,,,
3,,,,,,,-0.024599087114495717,,,,,,,
4,,,,,,,0.43752873331224834,,,,,,,
5,,,,,,,0.7522466127659553,,,,,,,
6,,,,,,,0.5149494328003571,,,,,,,
7,,,,,,,0.24208916708115444,,,,,,,
8,,,,,,,0.22086838901737807,,,,,,,
9,0.6484598198922271,-0.02458277557639415,0.2964620706375817,0.666881178669798,0.7266823702085796,0.39331540051587865,,0.5963450912260756,0.16452980013869714,0.07564396264854108,0.5150791382478881,,0.22207466283350186,0.4867246962774139
10,,,,,,,0.36349339943372505,,,,,,,
11,,,,,,,-0.2440773843687174,,,,,,,
12,,,,,,,0.3358238695180191,,,,,,,
13,,,,,,,0.7622332704192787,,,,,,,
14,,,,,,,0.3428437163360639,,,,,,,
15,,,,,,,0.21061664081205558,,,,,,,
16,,,,,,,0.9009184043353299,,,,,,,
17,,,,,,,0.10846316931080613,,,,,,,
18,0.6190494227208299,-0.03349659060582417,0.5831133559123566,0.4865286400758406,0.5976150792800692,0.3699784978166632,,0.5891286352670162,0.3266460875575417,0.2662782095791378,0.36690990795428824,,0.09624409518443992,0.45160591235025566
19,,,,,,,0.46803711432434697,,,,,,,
20,,,,,,,-0.47467027922044547,,,,,,,
21,,,,,,,0.741950566260936,,,,,,,
22,,,,,,,0.6399271853542987,,,,,,,
23,,,,,,,-0.12393329849348761,,,,,,,
24,,,,,,,0.1654888593335146,,,,,,,
25,,,,,,,-0.4124249591429965,,,,,,,
26,,,,,,,0.27604933190654174,,,,,,,
27,0.6742482179738354,0.15503607471022493,0.33068617591305366,0.49426757101854674,0.564628636688576,0.32401783119543354,,0.7817367073685526,0.10150798927019758,0.07550397144195578,0.2982936343944021,,0.3034589799356065,0.5407514138405574
28,,,,,,,0.6106577118584176,,,,,,,
29,,,,,,,-0.5971040405123118,,,,,,,
30,,,,,,,0.3166421119152867,,,,,,,
31,,,,,,,0.5124270311578045,,,,,,,
32,,,,,,,0.15612248231641096,,,,,,,
33,,,,,,,0.45633405965085105,,,,,,,
34,,,,,,,0.875176925534209,,,,,,,
35,,,,,,,0.11339545318631149,,,,,,,
36,0.8334726631054491,0.008134887931929298,0.6110740078919192,0.38949761420241424,0.8466111697447282,0.25455894427645964,,0.6778617087958456,0.4151446156064622,0.42624440469663116,-0.005111386210193608,,0.4830635431992387,0.3864254431204516
37,,,,,,,0.09964260025746563,,,,,,,
38,,,,,,,0.016114586300035108,,,,,,,
39,,,,,,,0.6159680537451995,,,,,,,
40,,,,,,,0.7113443564246769,,,,,,,
41,,,,,,,0.3432538804796505,,,,,,,
42,,,,,,,0.17589703054223194,,,,,,,
43,,,,,,,0.4675764659505592,,,,,,,
44,,,,,,,0.2831091408774524,,,,,,,
