,log luminescence_A549_form_screen_IR_Reductive_amination,log luminescence_IR_BL_AG_4CR_IR_4CR_aldehyde,log luminescence_IR_BL_AG_3CR_sting_IR_3CR_sting,log luminescence_Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched,Peptide abundance_Luke_Raj_Branched_ester_RM_Michael_addition_branched,log luminescence_RM_BL_AG_carbonate_RM_carbonate,FVII silencing_Zhou_dendrimer_Zhou_dendrimer,log luminescence_A549_form_screen_RM_Michael_addition_branched,luminescence_Chinese_Academy_of_Sciences_Chinese_Academy_of_Sciences,Luminescence_Liu_Phospholipids_Liu_iPhos,FVII silencing_Whitehead_siRNA_whitehead_lipidoid,FFL silencing_Zhou_dendrimer_Zhou_dendrimer,log luminescence_LM_3CR_LM_3CR,FFL silencing_Whitehead_siRNA_whitehead_lipidoid
0,0.5525339956109414,-0.10105708245243128,0.3566066607587204,0.3964242381076054,0.4802088658762317,-0.24108627050091114,,0.7238640907540327,,0.521391373547749,0.5290796160361377,0.20412613051613612,0.16892129254931335,0.41730731911437524
1,,,,,,,,,0.6519480519480519,,,,,
2,,,,,,,,,-0.24059233449477352,,,,,
3,,,,,,,,,-0.22404991491775383,,,,,
4,,,,,,,,,0.3302001458552792,,,,,
5,,,,,,,,,0.7172028198687302,,,,,
6,,,,,,,,,0.47524511789968404,,,,,
7,,,,,,,,,0.055944055944055944,,,,,
8,,,,,,,,,0.009318531723523217,,,,,
9,0.702664295727479,0.021002677395737312,0.03213024314806866,0.20613687711543752,0.19922602013137522,0.09653423980501465,,0.6437757715569714,,0.5597167195530383,0.2676470588235294,0.3885554776739494,0.3143879311002206,0.5348783687772873
10,,,,,,,,,0.4505383801573396,,,,,
11,,,,,,,,,-0.24958866851010175,,,,,
12,,,,,,,,,0.3160646231280701,,,,,
13,,,,,,,,,0.8652874068208507,,,,,
14,,,,,,,,,0.008670666535486876,,,,,
15,,,,,,,,,0.21012427453923158,,,,,
16,,,,,,,,,0.7976386819331435,,,,,
17,,,,,,,,,0.3163766589875269,,,,,
18,0.47143399865571745,-0.06162211216636991,0.19477280849057405,0.5602359236572586,0.4618344399183177,0.2826485316306226,,0.6666401696782739,,0.3641917693011189,-0.1794871794871795,0.3388352092461706,0.28888423337730723,0.4402898216186989
19,,,,,,,,,0.7151332856922695,,,,,
20,,,,,,,,,-0.6182290490959095,,,,,
21,,,,,,,,,0.7271754929924452,,,,,
22,,,,,,,,,0.4440369789107051,,,,,
23,,,,,,,,,-0.22690809142546356,,,,,
24,,,,,,,,,0.1233850915076702,,,,,
25,,,,,,,,,-0.4529256887910727,,,,,
26,,,,,,,,,0.39040415730105005,,,,,
27,0.5053780833408396,0.07160207316351724,0.1089108749028317,0.29369880649961777,0.5350681006102059,0.12520172311998426,,0.6398901423537863,,0.2849206978402444,0.37762237762237766,0.49613345167963274,0.2714108466108732,0.5276487562288773
28,,,,,,,,,0.5120157555446847,,,,,
29,,,,,,,,,-0.7285425101214575,,,,,
30,,,,,,,,,-0.273509465921953,,,,,
31,,,,,,,,,0.6338056680161943,,,,,
32,,,,,,,,,-0.41169967815110897,,,,,
33,,,,,,,,,0.6660591032224404,,,,,
34,,,,,,,,,0.8472748881569292,,,,,
35,,,,,,,,,0.16396761133603238,,,,,
36,0.8248510913710952,-0.042034606998485484,0.47004922643260694,0.6143801698948961,0.4341537073645236,0.3784439203648808,,0.8353551679037298,,-0.02155199086553964,0.2175824175824176,0.2823957027206406,0.21383575671573457,0.3886491558855216
37,,,,,,,,,0.36192794547224927,,,,,
38,,,,,,,,,0.1077455236028215,,,,,
39,,,,,,,,,0.6196690179055887,,,,,
40,,,,,,,,,0.7317417254476397,,,,,
41,,,,,,,,,0.4666576234400434,,,,,
42,,,,,,,,,0.24282419967444382,,,,,
43,,,,,,,,,0.40420658854067254,,,,,
44,,,,,,,,,0.38401455767077264,,,,,
