d_model,num_heads,dropout,weight_decay,cross_attention_layers,learning_rate,classification_dropout,regression_dropout,label_smoothing,early_stopping_patience,token_weight_init_strategy,trial,config_path,avg_rmse,avg_auc,avg_pr_auc
64,4,0.31885314971620343,0.00043039335263515084,3,0.0003306036635536876,0.15765725609390496,0.24463019098167085,0.0,20,balanced,0,hyperparam_search_v3/config_trial_0.json,0.3958235707961851,0.8715224893822789,0.5865683760058069
128,2,0.3365114718677317,7.27809794853848e-05,3,0.00011604015086770088,0.11385078921531967,0.22793903170665064,0.05,20,balanced,1,hyperparam_search_v3/config_trial_1.json,0.36527092423703933,0.8482647414836005,0.5934907195942587
64,4,0.33630817316422235,0.00047438799964866023,2,0.00019424139670022326,0.12316400096339952,0.30482940370508016,0.05,30,balanced,2,hyperparam_search_v3/config_trial_2.json,0.3785216487530205,0.876541132617432,0.551957168198175
256,2,0.291629564523621,0.0001525433220673427,2,0.0003061900973456064,0.1655592913511691,0.20281220129756478,0.05,30,chem_focused,3,hyperparam_search_v3/config_trial_3.json,0.3671344100601143,0.888861160727048,0.594277564783264
256,8,0.2594464498351444,0.00048661533638279334,2,0.00036397797106877186,0.13241342433705647,0.3464411682164362,0.0,25,balanced,4,hyperparam_search_v3/config_trial_4.json,0.38170692200462025,0.9072208208785227,0.63777198705992
256,4,0.19134383106788527,0.00046011934488958157,2,9.041946698192308e-05,0.15951049078171087,0.2531207064372502,0.0,20,chem_focused,5,hyperparam_search_v3/config_trial_5.json,0.3756552936716212,0.8544246800877854,0.5872163639911191
256,4,0.21639596106023543,0.0004124022702983376,4,9.844550597118559e-05,0.18925780963093602,0.27947260432892324,0.05,30,chem_focused,6,hyperparam_search_v3/config_trial_6.json,0.36937463821636307,0.8582707342571133,0.6226130441554497
64,4,0.21379444515468063,0.0004893292195685053,2,0.0001886057443344827,0.13958062585568481,0.2130115144759988,0.0,30,balanced,7,hyperparam_search_v3/config_trial_7.json,0.39601690467033124,0.8680739048171806,0.5948148045026863
64,4,0.19788791517793317,0.00019498331725686255,2,0.00024005786072559248,0.1918049999666983,0.31490943886602446,0.05,30,chem_focused,8,hyperparam_search_v3/config_trial_8.json,0.36378291870156926,0.8763370163227535,0.6122638168575663
256,2,0.25037491842974774,0.0002529289136357316,4,0.00011394998845454235,0.13278380134391174,0.2627762270765679,0.0,25,balanced,9,hyperparam_search_v3/config_trial_9.json,0.3964727438158459,0.8554932099221514,0.6095565565177712
128,4,0.1541503898718803,0.00032048763511387495,2,0.0002743281555361657,0.13371949682962714,0.2297094297139436,0.0,25,balanced,10,hyperparam_search_v3/config_trial_10.json,0.362428384522597,0.889178079067213,0.634910561765006
128,2,0.28294406304242986,0.00010511665467335001,2,0.00023909162206447733,0.17281406472516736,0.2019171221885913,0.0,25,balanced,11,hyperparam_search_v3/config_trial_11.json,0.34902868171532947,0.8729423557400643,0.6249487471329601
256,4,0.20266300303702692,0.00027153230275634593,2,0.0002077152242022466,0.1050946256898882,0.2443155244366319,0.05,30,chem_focused,12,hyperparam_search_v3/config_trial_12.json,0.36699550309114987,0.8893039739160666,0.5931042447260209
256,2,0.19750824400698244,0.0004138964810040706,2,0.00013061906574421,0.21378760053230364,0.31274922707197345,0.0,30,balanced,13,hyperparam_search_v3/config_trial_13.json,0.37599609171350795,0.8912787379764567,0.5944968087900565
64,2,0.28181697855953525,0.00018947837407844514,4,0.00018938116647734184,0.24364056090488365,0.27696750684018306,0.0,25,chem_focused,14,hyperparam_search_v3/config_trial_14.json,0.38137778557009167,0.8453360720959829,0.6338924378550327
