d_model,num_heads,dropout,weight_decay,cross_attention_layers,learning_rate,classification_dropout,regression_dropout,label_smoothing,early_stopping_patience,token_weight_init_strategy,trial,config_path,avg_rmse,avg_auc,avg_pr_auc
64,4,0.18577918498419968,3.66379750101514e-05,2,0.00041837529781408916,0.23899642362818146,0.20374295484936117,0.05,25,chem_focused,15,hyperparam_search_v5/config_trial_15.json,24.96704648854211,0.5678690900279152,0.32673412522231
64,2,0.28181697855953525,0.00018947837407844514,4,0.00018938116647734184,0.24364056090488365,0.27696750684018306,0.0,25,chem_focused,14,hyperparam_search_v5/config_trial_14.json,26.333487809805032,0.6017606772478771,0.24484086361052437
256,2,0.2365250987985752,0.00012982890053914268,4,0.0004335048809035687,0.2125204429159016,0.2999152501227984,0.05,30,balanced,18,hyperparam_search_v5/config_trial_18.json,26.407234983095393,0.49224147342663666,0.22760808346454908
64,4,0.19788791517793317,0.00019498331725686255,2,0.00024005786072559248,0.1918049999666983,0.31490943886602446,0.05,30,chem_focused,8,hyperparam_search_v5/config_trial_8.json,26.53056007314643,0.405737055049228,0.22732202700891152
128,8,0.18830415738949896,4.3271175513732765e-05,4,0.000234600462729857,0.11544907872101765,0.23292515006915057,0.05,30,chem_focused,17,hyperparam_search_v5/config_trial_17.json,26.698992447377268,0.5238099233337079,0.3213987120647773
128,4,0.1541503898718803,0.00032048763511387495,2,0.0002743281555361657,0.13371949682962714,0.2297094297139436,0.0,25,balanced,10,hyperparam_search_v5/config_trial_10.json,26.944731030062858,0.4036720384894129,0.21937211083872618
256,2,0.291629564523621,0.0001525433220673427,2,0.0003061900973456064,0.1655592913511691,0.20281220129756478,0.05,30,chem_focused,3,hyperparam_search_v5/config_trial_3.json,27.072961851150136,0.6770979683246949,0.3223816313895781
128,8,0.2546326682801352,0.00027984371372477877,2,0.0001126375579262374,0.20566962088243768,0.22308579052469824,0.0,20,balanced,16,hyperparam_search_v5/config_trial_16.json,27.161657820413396,0.4069734696333474,0.228185617051416
256,4,0.20266300303702692,0.00027153230275634593,2,0.0002077152242022466,0.1050946256898882,0.2443155244366319,0.05,30,chem_focused,12,hyperparam_search_v5/config_trial_12.json,27.303719047118317,0.3979128968541002,0.22006358476099802
64,4,0.21379444515468063,0.0004893292195685053,2,0.0001886057443344827,0.13958062585568481,0.2130115144759988,0.0,30,balanced,7,hyperparam_search_v5/config_trial_7.json,27.685002397661183,0.3914433157037499,0.21231989033187978
256,2,0.19750824400698244,0.0004138964810040706,2,0.00013061906574421,0.21378760053230364,0.31274922707197345,0.0,30,balanced,13,hyperparam_search_v5/config_trial_13.json,27.7324080219577,0.3839214192432531,0.210037741239008
256,2,0.25037491842974774,0.0002529289136357316,4,0.00011394998845454235,0.13278380134391174,0.2627762270765679,0.0,25,balanced,9,hyperparam_search_v5/config_trial_9.json,27.755012897139583,0.3535787612242545,0.21320697545026374
256,8,0.2594464498351444,0.00048661533638279334,2,0.00036397797106877186,0.13241342433705647,0.3464411682164362,0.0,25,balanced,4,hyperparam_search_v5/config_trial_4.json,28.166965647558257,0.4524576796223193,0.2132397342065681
128,2,0.28294406304242986,0.00010511665467335001,2,0.00023909162206447733,0.17281406472516736,0.2019171221885913,0.0,25,balanced,11,hyperparam_search_v5/config_trial_11.json,28.1701467782259,0.6270234572020393,0.25225216183816823
128,2,0.3365114718677317,7.27809794853848e-05,3,0.00011604015086770088,0.11385078921531967,0.22793903170665064,0.05,20,balanced,1,hyperparam_search_v5/config_trial_1.json,28.215514172080226,0.5268173769474326,0.25365262729107096
256,4,0.19134383106788527,0.00046011934488958157,2,9.041946698192308e-05,0.15951049078171087,0.2531207064372502,0.0,20,chem_focused,5,hyperparam_search_v5/config_trial_5.json,28.276893943463538,0.41610349084775866,0.22920299904798572
64,4,0.31885314971620343,0.00043039335263515084,3,0.0003306036635536876,0.15765725609390496,0.24463019098167085,0.0,20,balanced,0,hyperparam_search_v5/config_trial_0.json,28.405834475786172,0.3982478304860931,0.20943951232234495
256,4,0.21639596106023543,0.0004124022702983376,4,9.844550597118559e-05,0.18925780963093602,0.27947260432892324,0.05,30,chem_focused,6,hyperparam_search_v5/config_trial_6.json,28.623529332520608,0.414927035242797,0.22412970487682535
64,4,0.33630817316422235,0.00047438799964866023,2,0.00019424139670022326,0.12316400096339952,0.30482940370508016,0.05,30,balanced,2,hyperparam_search_v5/config_trial_2.json,28.70322253334928,0.5547165023356183,0.21655616410978587
128,8,0.30224994333497124,0.00013099960685150025,2,0.0001660449493613165,0.20134490067101968,0.20603202060458484,0.05,25,balanced,19,hyperparam_search_v5/config_trial_19.json,29.65353338699788,0.3581128485491519,0.22654311474957886
